movie	Prodiem Plain
person		Steve Buscemi
movie		Die Biester
company		Van Kampen Bond Fund
movie		Finarû tirminaetôru
movie		Avalanche Run
drug		DHS Tar Shampoo
movie		László Kalmár
person		Flamenco Shoe
place		Cudal
company		Safeway Inc.
drug		BIAVAX II
drug		Ulobetasol
person		Henry Baker
movie		Ouvrières du monde
drug		Polycitra Syrup
drug		Selsun Blue Extra Conditioning Formula
place		Waltham Cross
place		Orpington
movie		Down From the Mountain
movie		Großstadtträume
place		Castlederg
drug		Humate-P
drug		Novo-Tripramine
place		Saint-Porchaire
company		Wpsr Cap Tr I
movie		In goede aarde: Yesterday
drug		Novolin ge 30/70 Penfill 10
movie		Une mère en colère
movie		Il Fratello minore
movie		Tuvalu
drug		Nolvadex
drug		Rhinocort Turbuhaler
movie		Victor
person		Henri Lebesgue
place		Waratah
movie		From the Top of the Key
place		Poitiers
movie		Rhode Island
drug		Cafertine
place		Neumega
movie		Justice in Wonderland
movie		Sehnsucht nach Jack
place		Kinnersley
company		Progressive Return Fund, Inc.
place		Edgeworth
place		Sausset-Les-Pins
drug		METHYPRYLON
drug		Syllact
movie		Ginostra
place		Vilhelm Bjerknes
place		Bibury
drug		Quirindi
drug		Helicopter
company		Markel Corporation.
movie		Running From Shadows
person		Richard I
drug		Maestrale
person		J. L. Runeberg
movie		Wang ming zhi tao
movie		0.12h
place		Valence
movie		Yo soy así
person		Fannie Mae
drug		Apo-Cephalex 19
person		Elanora Heights
place		Kato
company		Mills Corporation.
person		M. zkt. vr.
movie		Clear by Design Medicated Cleansing Pads
company		Washington Real Estate Investment
drug		Z-Plus
movie		Delusional
place		Butibel
movie		G N Watson
movie		Das Rote Quadrat
drug		Myolin
place		Narromine
movie		The Near Future
movie		Hot Legs
place		Dum
company		FLEETBOSTON FINL CORP
drug		Dolagesic
place		Hornsby
place		Eric Heiden
movie		Mudo mundo
movie		Der Kleine Lord - Retter in der Not
person		Kevin P. Chilton
movie		Die Spur meiner Tochter
movie		Daria in Is It Fall Yet?
movie		Gongdong gyeongbi guyeok jsa
company		Nuveen New York Performance Plus Municipal Fund
drug		Benadryl Allergy/Cold 18
movie		Tom Clancy's Rainbow Six
person		John Wishart
drug		Talwin-Nx 14
drug		PreSun Spray Mist 34 47
company		Downey Financial Corporation.
place		Irchester
person		Julianadorp aan Zee
drug		Felix and Lola
movie		Shadow of the Vampire
place		North Carolina
movie		Godzilla Vs. Megaguirus: The G Annihilation Strategy
place		Hawaii
drug		Aeroseb-HC
place		Alesse
drug		Femcet
movie		Distinctii militare românesti
movie		Noites
movie		The Exhibited
person		Christopher Marlowe
movie		Take It to the Limit
drug		Correctol 26
company		First Data Corporation.
place		Warminster
movie		Diss
movie		¡Ja me maaten..!
drug		Katharine Hepburn
person		Leonid Vitaliyevich Kantorovich
place		Oldbury
movie		Le Secret
movie		Entertainment Life
movie		De la bouche des enfants
drug		Duration 12 Hour Nasal Spray
place		Staunton
drug		Desquam-E 10 Gel
company		Unigraphics Solutions Inc.
drug		Ak-Taine
drug		Chlor-Tripolon N.D. 21
drug		Quelidrine Cough 65
drug		Brevoxyl-4 Cleansing Lotion
movie		Yi jian zhong qing
person		Barnard Castle
place		Hank Greenberg
company		Viacom Inc.
drug		Citro-Mag
movie		Supaas torabaraazu
drug		Eurax Lotion
drug		Maxeran
movie		Paris
drug		Rep-Pred 80
movie		Forty Years On Coronation Street
drug		Felbatol
movie		Satan's School for Girls
movie		Joan Rivers
drug		Neo-Synephrine Nasal Jelly
place		Chorley
place		Gissing
movie		Strabane
movie		Open Wide and Say Ahh! 6
movie		The Chippendales Murder
person		Mauri Sariola
place		Borley
drug		Seconal
movie		Forever Yours
person		Bury St. Edmunds
person		Lawrence Taylor
movie		The Djinn
movie		Riverside Park
drug		Otocort
drug		Genoptic Liquifilm
movie		George Benson: Absolutely Live
person		Alexander Weinstein
drug		Ru-Tuss 10
company		Putnam Municipal Opportunities Trust
company		AON Corporation
place		Thornton (Lancashire)
movie		Elixir, édition spéciale
person		Abdullah ibn Masud
drug		Travasorb HN
drug		Deepak Chopra
movie		Fuera de foco
movie		New World Order: Somewhere in Africa
company		Flowserve Corporation.
place		Marriage Prep
person		Giuseppe Veronese
movie		Ridge Racer 5
drug		Ferospace
movie		Bad Bentheim
company		Standex International Corporation.
drug		Nizoral Shampoo
drug		Similac 20
drug		Zyflo
drug		Chlorgest-HD 26
movie		Lovenox
drug		PMS-Acetaminophen with Codeine
drug		Pregestimil
movie		Black Panty Chronicals 9
person		Nicolaus Copernicus
company		Williams Companies Inc
place		Forbes
place		Grans
drug		Vamos Chile
drug		Prominicol Cough 77
place		Toowoon Bay
drug		Niacels
movie		The Closer You Get
drug		Chlortox 13
drug		Co-codaprin
person		Ray Kroc
drug		Indocin SR
company		Pacificorp Cap Ii
movie		Time Gentlemen, Please
place		Craigavon
movie		Trial by Fire
person		John Clarkson
company		Maxtor Corp.
person		Alberta Hunter
person		Napoleon Bonaparte Buford
drug		Betws-y-Coed
movie		Heather Locklear
person		Olga Cordero
person		Simon Lhuilier
place		Lowdham
movie		Mohamed Anwar El Sadat
movie		Happy Man
place		Gosford
person		Sir Henry Hallett Dale
movie		Mein Leben gehört mir
drug		Raxar
drug		Granturismo
person		Sir Arthur Harden
drug		ULTRAbrom PD
drug		Hemocyte
place		Winchelsea
company		Lincoln National Capital III
person		Norman H. Schwarzkopf
person		Torab al-ghoraba
person		Dickinson W. Richards
drug		Telachlor
movie		Gauntlet Legends
movie		Dakhtaran-e Khorshid
place		Churchdown
person		Honorius I
movie		Demasiado amor
movie		Queens for a Night
place		Reigate
drug		L-Caine
company		Abbey National Plc.
movie		Les Portes de la gloire
movie		Innocents
movie		Fish
place		Haybes
company		Wackenhut Corporation.
movie		Remseck
drug		Bristol Myers Squibb Co
movie		The Innocent
drug		Tebrazid
movie		ìÁÎÄÙÛ ÓÅÒÅÂÒÉÓÔÙÊ
drug		Trandate
company		Cox Communication Inc.
drug		Robafen AC Cough 106
drug		Arcadia
person		Albert Glyburide
place		Russische Hochzeit
drug		Sulzer Medica
drug		Aprodrine 28
drug		Alphen
place		Lapworth
person		Johannes Vilhelm Jensen
place		Walcha
place		South Tunnel
place		Terrigal
drug		Giravolte
place		Skipton
company		Entergy Gulf Sts Inc
movie		Entscheidung seines Lebens
company		Ruby Tuesday Inc.
place		Dorking
drug		Phrenilin
place		Keighley
person		Chevy Chase
movie		An Intimate Friendship
movie		Wonderland ...It Ain't
drug		PMS-Sennosides 36
drug		Lupron
drug		Prorex-50
drug		Rhyl
drug		Vioform-Hydrocortisone Ointment
place		Bradford
drug		Levsinex Timecaps
movie		Bone
drug		PPA
drug		Drixoral Nasal Decongestant
movie		Dr. T & the Women
person		Dog Food
movie		The Visit
movie		Time to Live
drug		Mission Improbable
movie		The Cindy Margolis Show
drug		50CC
company		Krispy Kreme Doughnuts, Inc.
movie		John o' Groats
person		Erik Zeeman
movie		Skeletons in the Closet
drug		Ancotil
person		Melvin Calvin
company		ALZA Corporation
company		General Chemical Group Inc.
place		Vendetta
person		Louis Riel
drug		Timolide
place		Schleswig-Holstein
movie		Cathedral Rock
company		Health Net, Inc.
drug		Wintrocin
place		Chilton (Durham)
movie		Death of a Salesman
movie		Moritz Pasch
place		Waltham Abbey
drug		Celestine IV
place		Morley
drug		Regular Strength Tylenol Cough Medication with Decongestant124
place		Warpath
drug		Sinutab No Drowsiness Extra Strength Caplets
person		Yates Frank
company		Un Banco Más de Todos
movie		Sao Tome and Principe
movie		La Revancha
company		The Blackrock 2001 Term Trust Inc.
movie		S Club 7: Artistic Differences
company		Nuveen California Performance Municipal Fund
movie		Ferien in der Heimat
person		Alexander IV
movie		Couch Taters
company		Pajama Party
company		Northrop Grumman Corporation
place		Bexhill-on-Sea
drug		Rescon-DM 33
person		Paul Cézanne
movie		L'Amour, l'argent, l'amour
drug		Penthrane
movie		Confessions of a Head Hunter
movie		Verboden te zuchten
movie		Der König tanzt
drug		Otic-Care
movie		Aberdyfi
movie		The Journey of Jared Price
place		Mettlach
person		Marazion
movie		Georges Comte de Buffon
person		Jim Carey
drug		Largactil Liquid
place		Tadcaster
drug		Tranxene-SD
company		Ryland Group Inc.
company		Specialty Laboratories, Inc.
drug		Lumitene
company		Standard Commercial Corporation.
drug		Abdullah Ibn Sailam
person		Ralph Waldo Emerson
drug		Supeudol 12
movie		Campos sagrados
place		Krefeld
movie		Dristan Long Lasting Nasal Mist
drug		Entrophen 15 Maximum Strength Tablets
drug		Pred Forte
movie		Paterson
movie		Strangers to Themselves
company		Volt Information Sciences Inc.
movie		Prince Rupprecht
movie		Born to Be King
place		Humbert
person		Joris Hoefnagel
movie		Ultimate Fighting Championship
drug		Dogme 4
person		Alain Connes
person		Bill Wilson
drug		Hindsight
company		Nuveen New Jersey Investment Quality Municipal Fund
person		Nicolaus Fuss
company		Canon, Inc.
drug		Modecate
place		Linlithgow
drug		Bio-Cops
drug		Suppressin DM Plus 126
drug		CMT
movie		Apartment Hunting
place		Heimatgeschichten - O Tannenbaum
drug		Dycill
movie		An American Tail: The Treasure of Manhattan Island
drug		Sectral
place		Biberach
drug		Pertussin CS Children's Strength
person		Eric F. Wieschaus
drug		Orudis-E
person		Elsevier N V
company		Dollar Thrifty Automotive Group Inc.
drug		Celestoderm-V
person		Schack August Steenberg Krogh Krogh
movie		Tom Hanks
company		Boyd Gaming Corp
person		Ernie Lombardi
place		Welshpool
movie		Cecilia
drug		Thanatos
movie		Our Years
company		General Mtrs Cap Tr D
movie		At the Height of Summer
place		Together
movie		Great Lakes Reit
place		Dulverton
company		Outback Steakhouse, Inc.
movie		A Visit from the Sergeant Major with Unintended Consequences
place		Gunning
company		Dyerburg Corporation.
person		John Dewey
person		Branwell Brontë
movie		Restless
drug		Catastrophe
company		Cornerstone Propane Partnership L.P.
drug		APD
drug		MyCort
drug		Bain de Soleil All Day Sunfilter 31
drug		Trialodine
drug		Tinactin Cream
movie		Enas ki enas
drug		Lowsium Plus 24
company		Minnesota Municipal Term Trust Inc.
place		Gorlois
movie		Roussou,
place		Allogny
place		Wisbech
drug		Nupercainal Ointment
drug		Chooz 18
movie		La Vache et le président
drug		Night-Time Effervescent Cold 17
company		Centex Corporation
company		British Energy Plc
person		Vigdis Finnbogadottir
movie		AFI's 100 Years, 100 Laughs: America's Funniest Movies
movie		Tatort - Mord am Fluss
drug		Entex Liquid 140
movie		Julien l'apprenti
person		Joseph of Arimathea
movie		Luna salvaje
person		William D. Phillips
company		Triton Energy Ltd
drug		Brevoxyl-4 Gel
movie		Meseautó
drug		Fibercon Caplets
place		Mordred
drug		Sudal 120/600 142
drug		Fertinex
place		Rogaine
drug		Bancap-HC
movie		Rosamunde Pilcher - Die Rose von Kerrymore
company		BKF Capital Group, Inc.
person		Johnny Bench
drug		Mylanta Sugar Free Natural Fiber Supplement
movie		Mom's Got a Date with a Vampire
movie		Chameleon 3: Dark Angel
movie		Catrix Lip Saver 41
movie		Caverject
person		Penzance
movie		Dark Knight
movie		I Spike
movie		India
movie		Oliver O. Howard
person		Ludwig Quidde
movie		Sin's Kitchen
movie		Trzy szalone zera
place		Epoch
movie		Nancy
person		Alfred von Tirpitz
drug		Reguloid Natural Sugar Free
place		Eyemouth
person		Paul Newman
drug		Nostril Spray Pump Mild
company		Associated Estates Realty Corporation
place		Zebralla
place		Chorleywood
place		Cestas
movie		Sustiva
person		Nathan Jacobson
drug		Dermoxyl 20 Gel
movie		Rothenburg ob der Tauber
drug		Bain de Soleil Long Lasting Sport Sunblock 31
place		La Grave
drug		Chlor-Trimeton Allergy-D 12 Hour 15
drug		Vasotec
movie		Cizinci v case
movie		Tojo Hideki
place		Flicker
movie		Clerks: The Animated Series
movie		Rocky Horror 25: Anniversary Special
movie		A Killing Frost
movie		Prison Life
movie		Euro Angels 25: Budapest Booty Fest
drug		Co-Complex DM Caplets 124
movie		Kingdom of Poet O
person		Lambert Quetelet
person		Stanley Kubrick
drug		Introlite
drug		Novo-Veramil
person		Menerbes
movie		Me Jane
movie		Kaliber Deluxe
place		Schwelm
place		Dalheim
place		Vumon
company		Archstone Cmntys Tr
person		Musab ibn Umayr
drug		Apo-Levocarb
movie		Tatort - Chaos
drug		Riopan Plus Extra Strength 24
movie		The Bread, My Sweet
movie		Pop Beat Killers
movie		That's Life
company		UNOCAL CORP
company		Home Depot Inc.
place		Münster
movie		VH1 Divas 2000: A Tribute to Diana Ross
person		Don Carlos Buell
place		Strasbourg
company		Developers Diversified Realty Corporation.
drug		Aquasol A
movie		Neil Young: Silver and Gold
person		Poppuguruupu Koroshiya
movie		I Prefer the Sound of the Sea
company		Rollins Truck Leasing Corporation.
person		Abraham Robinson
company		CryoLife, Inc.
drug		Zanosar
company		Enron Corporation
drug		Macrobid
company		Terra Sonâmbula
drug		Aspirtab
place		Schrobenhausen
movie		A Question of Faith
movie		Trixie
movie		Muir of Ord
company		iStar Financial Inc.
person		Le Cercle de Babel
company		Shaw Communications Inc.
drug		Sciography
place		Luz
drug		Dorcol Children's Cough 132
place		Wormley
place		Staveley
movie		The Theory of Everything
drug		Aristocort D 18
movie		Danny and Max
person		Patricia Ryan Nixon
place		FluShield
place		Osborne Reynolds
person		Elisabeth Kuber Ross
movie		The Summer Intern
movie		Fist Power
movie		August Blanche
movie		Cleopatra VII
movie		Xian's Finest
drug		Veetids 13
place		Vouziers
movie		Y decirte alguna estupidez, por ejemplo, te quiero
place		Reynoldston
drug		Lodine
